word, sentences,english_meaning
verabredet,"Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet.",have an appointment
"die Verabredung, -en",Ich habe um 15 Uhr eine Verabredung mit Klaus.,the appointment
"(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet","1. Ich wurde von meinen Freunden sehr nett verabschiedet.
2. Es ist schon 23 Uhr. Ich möchte mich verabschieden.",(say goodbye
"der Abschied, -e",Der Abschied von meinen Freunden fiel mir schwer.,the farewell
"(sich) verändern, verändert, veränderte, hat verändert","1. Das geht so nicht. Wir müssen die Organisation verändern.
2. Wir haben uns lange nicht gesehen. Aber du hast dich gar nicht verändert.",(change
"die Veranstaltung, -en",Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.,the event
verantwortlich,Sie sind für Ihre Kinder verantwortlich.,responsible
die Verantwortung,Sie tragen die Verantwortung für Ihre Kinder.,the responsibility
"(sich) verbessern, verbessert, verbesserte, hat verbessert","1. Ich habe mein Deutsch verbessert.
2. Meine Kinder haben sich in der Schule verbessert.",(to) improve
"verbieten, verbietet, verbot, hat verboten",Ich werde meinen Kindern das Rauchen verbieten.,forbid
"das Verbot, -e",Ich bin für das Verbot dieses neuen Videospiels.,the ban
verboten,In den meisten Restaurants ist Rauchen verboten.,forbidden
"verbinden, verbindet, verband, hat verbunden","1. Wir müssen die Wunde sofort verbinden.
2. Sie sind falsch verbunden! Hier ist Müller, nicht Meyer.",connect
"die Verbindung, -en","1. Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen.
2. Kannst du bitte lauter sprechen? Die Verbindung ist sehr schlecht.",the connection
"verbrauchen, verbraucht, verbrauchte, hat verbraucht",Wie viel Benzin verbraucht dein Auto?,consume
"der Verbrecher, -
die Verbrecherin, -nen",Die Polizei hat den Verbrecher verhaftet.,the criminal
"(sich) verbrennen, verbrennt, verbrannte, hat verbrannt","1. Ich werde alle Briefe verbrennen.
2. Der Herd war noch heiß. Ich habe mich verbrannt.",burn (yourself).
"verbringen, verbringt, verbrachte, hat verbracht",Wie haben Sie Ihren Urlaub verbracht?,spend
der Verdacht,"1. Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht.
2. Wen haben Sie in Verdacht?",the suspicion
verdächtig,"1. Die Tür war nicht abgeschlossen. Das ist verdächtig.
2. Haben Sie etwas Verdächtiges gesehen?",suspicious
"verdienen, verdient, verdiente, hat verdient","1. In diesem Beruf verdient man gut.
2. Er hat den Urlaub wirklich verdient.",earn
"der Verein, -e",Ich bin schon seit 15 Jahren Mitglied in diesem Verein.,the Union
"vereinbaren, vereinbart, vereinbarte, hat vereinbart",Können wir einen Termin vereinbaren?,agree
die Vergangenheit,In der Vergangenheit war das anders.,the past
vergeblich,Ich habe vergeblich versucht dich anzurufen.,vain
"vergessen, vergisst, vergaß, hat vergessen","1. Ich habe den Termin ganz vergessen.
2. Ich habe meinen Pass vergessen.",forget
"vergleichen, vergleicht, verglich, hat verglichen",Vergleichen Sie die Angebote.,compare
"der Vergleich, -e","1. Ein Vergleich ist schwer möglich.
2. Im Vergleich zum Wetter letzte Woche ist es heute warm.",the comparison
"sich vergnügen, vergnügt sich, vergnügte sich, hat sich vergnügt",Auf der Party habe ich mich sehr vergnügt.,have fun
"das Vergnügen, -","1. Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen.
2. Ich wünsche dir viel Vergnügen bei der Party!",the pleasure
vergnügt,Er kam mit einem vergnügten Grinsen herein.,happy
"vergrößern, vergrößert, vergrößerte, hat vergrößert","1. Können Sie das Foto vergrößern?
2. Wir wollen unser Geschäft vergrößern.",enlarge
"verhaften, verhaftet, verhaftete, hat verhaftet",Die Polizei hat 23 Menschen verhaftet.,arrest
"sich verhalten, verhält sich, verhielt sich, hat sich verhalten",Der Mann hat sich uns gegenüber merkwürdig verhalten.,behave
das Verhalten,Ich bewundere dein Verhalten in der schwierigen Situation.,the behavior
"das Verhältnis, -se",Ich habe ein gutes Verhältnis zu meinen Eltern.,the relationship
verheiratet,"1. Mit wem sind Sie verheiratet?
2. Meine Eltern sind seit 30 Jahren verheiratet.",married
"verhindern, verhindert, verhinderte, hat verhindert",Wir konnten den Unfall nicht verhindern.,impede
"verkaufen, verkauft, verkaufte, hat verkauft",Ich habe unser altes Auto verkauft.,sell
"der Verkäufer, -
die Verkäuferin, -nen",Die Verkäuferin wird Ihnen gleich helfen.,the seller
der Verkehr,Morgens ist hier immer viel Verkehr.,the traffic
"das Verkehrsmittel, -",Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.,the means of transport
"der Verlag, -e (A: ¨-e)",Von welchem Verlag ist dieses Buch?,the publisher
"verlangen, verlangt, verlangte, hat verlangt","1. Jeden Tag Überstunden? Das können Sie nicht verlangen.
2. Wie viel verlangen Sie für das Auto?
3. Frau Müller, Sie werden am Telefon verlangt.",demand
"verlängern, verlängert, verlängerte, hat verlängert","1. Ich muss meinen Pass verlängern lassen.
2. Die U-Bahn Linie U4 wird verlängert.",extend
"verlassen, verlässt, verließ, hat verlassen","1. Ich habe die Party um 3 Uhr verlassen.
2. Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.",leave
"sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen",Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.,get lost
"(sich) verletzen, verletzt, verletzte, hat verletzt","1. Ich habe mich an der Hand verletzt.
2. Ich habe mir den Arm verletzt.",(get hurt
"die Verletzung, -en",Keine Angst. Die Verletzung ist nicht so schlimm.,the injury
"sich verlieben, verliebt sich, verliebte sich, hat sich verliebt",Ich habe mich verliebt.,fall in love
verliebt,Ich bin in Francesco verliebt.,in love
"verlieren, verliert, verlor, hat verloren","1. Ich habe meine Brieftasche verloren.
2. Jennifer hat ihre Stelle verloren.
3. Sie dürfen den Mut nicht verlieren.
4. Unsere Mannschaft hat 3:5 verloren.",lose
"der Verlierer, -
die Verliererin, -nen",Sie ist eine gute Verliererin.,the loser
"der Verlust, -e",Der Verlust meiner Uhr ärgert mich sehr.,the loss
"vermeiden, vermeidet, vermied, hat vermieden","Der Arzt sagt, ich soll Stress vermeiden.",avoid
"vermieten, vermietet, vermietete, hat vermietet","1. Bei uns im Haus ist ein Zimmer zu vermieten.
2. Die Wohnung ist schon vermietet.",rent
"der Vermieter, -
die Vermieterin, -nen","Unsere Vermieterin ist eine sehr nette, ältere Frau.",the landlord
"die Vermietung, -en",Mit der Vermietung von Wohnungen kann man viel Geld verdienen.,the rental
"vermissen, vermisst, vermisste, hat vermisst",Ich vermisse meine Familie.,miss
"die Vermittlung, -en","1. Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach.
2. Rufen Sie die Vermittlung an und fragen Sie nach der Telefonnummer von Herrn Fischer.",the mediation
"vermuten, vermutet, vermutete, hat vermutet","Ich vermute, sie wird heute nicht kommen.",assume
vermutlich,Vermutlich sagt er die Wahrheit.,allegedly
vernünftig,"1. Seien Sie doch vernünftig!
2. Das ist ein ganz vernünftiger Vorschlag.",reasonable
"verpacken, verpackt, verpackte, hat verpackt",Hast Du die Pakete gut verpackt?,pack
"verpassen, verpasst, verpasste, hat verpasst","1. Ich habe den Zug verpasst.
2. Ich habe die 12-Uhr-Nachrichten verpasst.",miss
"verpflegen, verpflegt, verpflegte, hat verpflegt",Wir werden hier sehr gut mit Essen verpflegt.,cater
verpflichtet,"Sie sind verpflichtet, den Unfall zu melden.",obligated
"verraten, verrät, verriet, hat verraten","1. Wer hat dir das Geheimnis verraten?
2. Sein Blick verriet mir, dass er verletzt ist.",betrayed
"verreisen, verreist, verreiste, ist verreist",Frau Dr. Müller ist zurzeit verreist.,travel
verrückt,"1. Bist du verrückt geworden?!
2. So eine verrückte Idee.",crazy
"die Versammlung, -en",Der Minister hielt bei der Versammlung eine Rede.,the assembly
"versäumen, versäumt, versäumte, hat versäumt","Tut mir leid, ich habe die Anmeldefrist versäumt.",miss
"verschieben, verschiebt, verschob, hat verschoben",Leider muss ich den Termin verschieben.,move
verschieden,"1. Unsere beiden Kinder sind sehr verschieden.
2. Wir haben dieses Kleid in verschiedenen Farben.",different
"verschreiben, verschreibt, verschrieb, hat verschrieben",Die Ärztin hat mir Tabletten verschrieben.,prescribe
"verschwinden, verschwindet, verschwand, ist verschwunden",Mein Ausweis ist verschwunden. Hast du ihn vielleicht gesehen?,disappear
"versichern, versichert, versicherte, hat versichert","1. Wollen Sie Ihr Gepäck versichern?
2. Wie sind Sie versichert?",assure
"die Versichertenkarte, -n (D)
→ A: e-card",Haben Sie Ihre Versichertenkarte dabei?,the insurance card
"die Versicherung, -en","1. Sie sollten eine Versicherung für Ihr Gepäck abschließen.
2. Sie müssen den Unfall der Versicherung melden.",the insurance
"die Verspätung, -en",Unser Zug hatte 10 Minuten Verspätung.,the delay
"versprechen, verspricht, versprach, hat versprochen","Meine Mutter hat mir versprochen, mich abzuholen.",promise
verständlich,"Nach acht Stunden Schule haben die Kinder keine Lust mehr, die Hausaufgaben zu machen. Ich finde das verständlich.",understandable
das Verständnis,Wir bitten um Ihr Verständnis.,the understanding
"(sich) verstecken, versteckt, versteckte, hat versteckt","1. Ich habe das Geld hinter dem Regal versteckt.
2. Die Kinder verstecken sich im Wald.",(to hide oneself
"(sich) verstehen, versteht, verstand, hat verstanden","1. Ich kann Sie kaum verstehen. Sprechen Sie bitte lauter.
2. Den Satz verstehe ich nicht.
3. Ich verstehe nichts von Computern.
4. Unsere beiden Kinder verstehen sich sehr gut.",(understand each other
"versuchen, versucht, versuchte, hat versucht","1. Haben Sie es schon mal mit diesem Mittel versucht?
2. Ich habe immer wieder versucht, Sie zu erreichen.
3. Versuchen Sie doch mal meinen Apfelkuchen.",attempt
"der Versuch, -e","1. In der Forschung werden viele Versuche gemacht.
2. Mein Versuch, etwas zu ändern, blieb ohne Erfolg.",the attempt
"verteilen, verteilt, verteilte, hat verteilt",Kannst du bitte schon mal die Gläser verteilen?,distribute
"der Vertrag, ¨-e",Sie beide müssen den Vertrag unterschreiben.,the contract
"vertrauen, vertraut, vertraute, hat vertraut",Ich kenne dich gut. Ich vertraue dir.,trust
das Vertrauen,Ich habe Vertrauen zu Ihnen.,the trust
"vertreten, vertritt, vertrat, hat vertreten","Wer vertritt Sie, wenn Sie Urlaub machen?",represent
"der Vertreter, -
die Vertreterin, -nen","1. Als Herr Dr. Müller in Urlaub war, bin ich zu seiner Vertreterin gegangen.
2. Die Elternvertreter treffen sich morgen Abend in der Schule.",the representative
"die Vertretung, -en",Herr Dr. Meyer macht für mich die Vertretung.,the representation
"verurteilen, verurteilt, verurteilte, hat verurteilt",Das Gericht hat den Täter zu einer Geldstrafe verurteilt.,condemn
"die Verwaltung, -en",Sprechen Sie bitte mit der Verwaltung. Die können Ihnen helfen.,the administration
verwandt,Sind Sie mit Frau Meyer verwandt?,related
"der Verwandte, -n
die Verwandte, -n",Zu meinem Geburtstag kommen alle Verwandten.,the relative
"verwechseln, verwechselt, verwechselte, hat verwechselt","Entschuldigen Sie, ich habe Sie mit jemandem verwechselt.",confuse with
"verwenden, verwendet, verwendete, hat verwendet",Dieses Wort wird oft verwendet.,use
"verzeihen, verzeiht, verzieh, hat verziehen",Das werde ich ihm nie verzeihen können.,pardon
Verzeihung,Verzeihung! Ich habe die falsche Nummer gewählt.,forgiveness
"verzichten, verzichtet, verzichtete, hat verzichtet",Ich verzichte heute auf den Kaffee.,waive
"das Video, -s","1. Ich habe den Film auf Video aufgenommen.
2. Lass uns ein Video vom Fest machen!",the video
viel/viele,"1. Ich habe schon viel gelernt.
2. Ich wünsche Ihnen viel Spaß.
3. Hier regnet es viel.
4. Das ist mir viel zu teuer.
5. Im Winter sind viele Leute erkältet.",much/many
vielleicht,"1. Kommst du mit in die Stadt? - Ich weiß noch nicht. Vielleicht.
2. Vielleicht bekomme ich den Job.
3. Die Fahrkarte war vielleicht teuer!
4. Hast du vielleicht Kleingeld für mich?",perhaps
"das Viertel, - (D, A)
→ CH: Quartier",Wir wohnen in einem schönen Viertel.,the quarter
virtuell,Auf dieser Website kann man an einer virtuellen Stadtrundfahrt teilnehmen.,virtual
"der Virus, Viren",Ich habe mal wieder einen Virus auf meinem Computer.,the virus
"die Visitenkarte, -n",Darf ich Ihnen meine Visitenkarte geben?,the business card
"das Visum, Visa",Das Visum ist für drei Monate gültig.,the visa
"das Vitamin, -e","Der Arzt sagt, ich soll viele Vitamine essen.",the vitamin
voll,"1. Die Flasche ist noch ganz voll.
2. Vor den Feiertagen sind die Züge immer sehr voll.
3. Bitte unterschreiben Sie mit Ihrem vollen Namen.",full
die Vollzeit,Ich möchte gerne Vollzeit arbeiten.,the full time
Volleyball,Im Sommer spiele ich gern Volleyball.,volleyball
völlig,Das halte ich für völlig ausgeschlossen.,fully
von,"1. Ich komme gerade vom Zahnarzt.
2. Emil ist ein Freund von mir.
3. Haben Sie noch eine Zeitung von heute?
4. Von jetzt an müssen wir sparen.
5. Das Büro ist von 13 bis 15 Uhr geschlossen.",from
voneinander,Wir haben lange nichts voneinander gehört.,from each other
vor,"1. Ich bin vor einer Woche zurückgekommen.
2. Das Auto steht vor der Tür.
3. Ich konnte vor Schmerzen nicht schlafen.",before
vor allem,"Grüßen Sie alle von mir, vor allem Frau Meier.",above all
voraus,"1. Gehen Sie schon voraus.
2. Ich danke Ihnen im Voraus für Ihre Mühe.",in advance
"die Voraussetzung, -en","1. Gesunde Ernährung ist die Voraussetzung für ein langes Leben.
2. Er will die Arbeit nur unter der Voraussetzung annehmen, dass ihm die Firma eine Wohnung organisiert.",the prerequisite
voraussichtlich,Der Zug hat voraussichtlich 20 Minuten Verspätung.,expected
vorbei/vorbei-,"1. Die Linie 8 fährt am Krankenhaus vorbei.
2. Keine Sorge! Die Schmerzen sind in ein paar Minuten vorbei.
3. Kommst du um 3 Uhr bei mir vorbei?",over/past-
"(sich) vorbereiten, bereitet vor, bereitete vor, hat vorbereitet","1. Am Sonntag machen wir ein kleines Fest. Ich muss noch viel dafür vorbereiten.
2. Ich muss mich auf meine Prüfung vorbereiten.",(get ready
"die Vorbereitung, -en",Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.,the preparation
vorder-,In den vorderen Reihen sind noch Plätze frei.,before the-
die Vorfahrt,Achtung! Das Auto rechts hat Vorfahrt!,the right of way
vorgestern,Er hat mich vorgestern angerufen.,the day before yesterday
"vorhaben, hat vor, hatte vor, hat vorgehabt",Haben Sie morgen Abend schon etwas vor?,plan
vorher,Ich komme mit ins Café. Vorher muss ich aber noch zur Bank.,previously
vorhin,Vorhin hat Heidrun angerufen. Du sollst sie zurückrufen.,earlier
"vorkommen, kommt vor, kam vor, ist vorgekommen",Kein Problem. Das kann vorkommen.,happen
vorläufig,"1. Ich habe noch keine Wohnung. Ich wohne vorläufig bei einem Freund.
2. Das ist eine vorläufige Entscheidung.",provisionally
"vorlesen, liest vor, las vor, hat vorgelesen",Ich lese meinen Kindern oft etwas vor.,read aloud
"vorn, vorne","1. Bitte vorn beim Fahrer einsteigen!
2. Zwei Kinokarten, bitte. – Wo möchten Sie sitzen, vorne oder hinten?
3. Das war noch nicht ganz richtig. Bitte noch mal von vorne.",front
"der Vorort, -e",Wir wohnen in einem Vorort von Köln.,the suburb
"vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen","Ich schlage vor, dass wir eine Pause machen.",suggest
"der Vorschlag, ¨-e","Ich mache dir einen Vorschlag: Du hilfst mir beim Deutschlernen, und ich lade dich zum Essen ein.",the suggestion
"die Vorschrift, -en",Beachten Sie bitte die Vorschriften für das Benutzen der Bibliothek.,the regulation
die Vorsicht,Vorsicht! Der Teller ist heiß.,the caution
vorsichtig,"Bitte fahr vorsichtig, die Straße ist glatt.",cautious
"(sich) vorstellen, stellt vor, stellte vor, hat vorgestellt","1. So schwierig habe ich mir die Arbeit nicht vorgestellt.
2. Darf ich dir meine Frau vorstellen?
3. Ich möchte mich vorstellen: Mein Name ist Schuster.",(to) imagine
"die Vorstellung, -en",Wann läuft der Film? – Die nächste Vorstellung ist um 15 Uhr.,the idea
"das Vorstellungsgespräch, -e",Wann hast du dein Vorstellungsgespräch?,the interview
"der Vorteil, -e","Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.",the advantage
"der Vortrag, ¨-e",Ihr Vortrag war sehr interessant.,the lecture
"die Vorwahl, -en",Wie ist die Vorwahl von Hamburg?,the area code
vorwärts,Ich kann nicht vorbei. Bitte fahr noch ein Stück vorwärts.,forward
"der Vorwurf, ¨-e",Eva kann nichts dafür. Mach ihr keine Vorwürfe.,the accusation
waagerecht,Ziehen Sie bitte einen waagerechten Strich.,horizontally
wach,"1. Bist du schon lange wach?
2. Ich bin gerade wach geworden.",awake
"wachsen, wächst, wuchs, ist gewachsen","1. Mein Sohn ist sehr gewachsen. Er ist jetzt schon größer als ich.
2. Ich will mir die Haare wachsen lassen.
3. In meinem Garten wachsen Tomaten und Kartoffeln.",grow
"der Wagen, -","1. Ich habe meinen Wagen in die Werkstatt gebracht.
2. Im zweiten Wagen befindet sich das Zugrestaurant.",the car
"wählen, wählt, wählte, hat gewählt","1. Sie können wählen: Als Vorspeise gibt es Suppe oder Salat.
2. Sie müssen erst eine Null wählen.
3. Ich habe diese Partei nicht gewählt.",choose
